Tijdstempel,Achternaam Kind,Voornaam Kind,Groep,Aanwezigheid van het kind [Woensdag],Aanwezigheid van het kind [Donderdag],Aanwezigheid van het kind [Vrijdag],Aanwezigheid van het kind [Zaterdag],"Geef hier eventuele allergieën of dieetwensen (bijv. vegetarisch, veganistisch) van je kind aan:",Opmerkingen:,Dit is mijn eerste NTC zomerkamp,Ik blijf slapen op het kamp:,Opmerkingen overnachten:,Mijn beschikbaarheid als hulpouder is: [07:00 - 07:30],Mijn beschikbaarheid als hulpouder is: [07:30 - 09:00],Mijn beschikbaarheid als hulpouder is: [09:00 - 13:00],Mijn beschikbaarheid als hulpouder is: [13:00 - 15:30],Mijn beschikbaarheid als hulpouder is: [15:30 - 18:00],Mijn beschikbaarheid als hulpouder is: [18:00 - 21:00],Opmerkingen beschikbaarheid:,Heb je een auto beschikbaar (om bijvoorbeeld leerkrachten van het station op te halen),Eventuele voedselallergieën Ouder:,Naam Ouder,E-mail Ouder,Telefoonnummer Ouder,Chat apps,Klassenfoto,Foto's en video's tijdens het zomerkamp.,Opmerkingen foto's en video's,E-mailadres,Opmerkingen chat apps
2026-05-03 11:30:24.411000,van Dijk,Femke,Groep 1,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,"Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen",,,Ja,Vrijdagavond,,Zaterdag,Zaterdag,"Woensdag, Donderdag, Zaterdag",Donderdag,Vrijdag,Vrijdag,,Ja,,Fay,fay@ntc.fi,0406000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,Mijn kind mag niet herkenbaar in beeld komen,,,
2026-05-04 10:18:22.510000,de Boer,Yfke,Groep 4,"Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten",Vega,,Nee,"Woensdagavond, Donderdagavond, Vrijdagavond",,"Donderdag, Vrijdag, Zaterdag",Zaterdag,Zaterdag,Zaterdag,"Woensdag, Donderdag, Vrijdag","Woensdag, Donderdag, Vrijdag",,Ja,,Sep Fiere,sep@ntc.fi,0503000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,Mijn kind mag niet herkenbaar in beeld komen,,,
2026-05-04 10:20:05.461000,de Boer,Liza,Groep 2,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten",,,Nee,"Woensdagavond, Donderdagavond, Vrijdagavond",,"Donderdag, Vrijdag, Zaterdag","Donderdag, Vrijdag, Zaterdag",Zaterdag,Zaterdag,"Woensdag, Donderdag, Vrijdag","Woensdag, Donderdag, Vrijdag",,Ja,,Elin,elin@ntc.fi,0503000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,Mijn kind mag niet herkenbaar in beeld komen,,,
2026-05-04 10:29:13.276000,van Emmelen,Jolie,Groep 3a,"Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten",,,Nee,"Wij komen al op dinsdagavond, Woensdagavond, Donderdagavond, Vrijdagavond",,"Donderdag, Vrijdag",Zaterdag,Zaterdag,,"Woensdag, Donderdag, Vrijdag","Woensdag, Donderdag, Vrijdag",,,,Joey,joey@ntc.fi,04000000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,Mijn kind mag niet herkenbaar in beeld komen,,,
2026-05-04 10:33:34.127000,Janse,Féline,Groep 4,,,,,,,Nee,Ik blijf niet slapen,,,,,,,,,Nee,,Jay,jay@ntc.fi,041-0000000,Ik gebruik liever Signal,Mijn kind mag deelnemen aan een klassenfoto,Alleen op de website en/of drukmateriaal,,,
2026-05-04 10:35:15.136000,Zaal,Sem,Groep 3b,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp",Aanwezig tijdens de lessen,,,Nee,Vrijdagavond,,,,Vrijdag,Vrijdag,Vrijdag,,,Nee,,Alex Wilmont,alex@ntc.fi,+358000000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,Mijn kind mag niet herkenbaar in beeld komen,,,
2026-05-04 10:36:37.746000,Zaal,Daan,Groep 5,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp",Aanwezig tijdens de lessen,,,Nee,Vrijdagavond,,,,Vrijdag,Vrijdag,Vrijdag,,,Nee,,Alex Wilmont,alex@ntc.fi,+358000000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,Mijn kind mag niet herkenbaar in beeld komen,,,
2026-05-04 11:11:37.531000,van Ham,Joël,Groep 7,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,,,Nee,Ik blijf niet slapen,,,,,,,,,,,Muhammed van Mare,muhammed@ntc.fi,0443000000,,Mijn kind mag deelnemen aan een klassenfoto,Mijn kind mag niet herkenbaar in beeld komen,,,
2026-05-04 11:12:50.308000,van Ham,Wout,Groep 5,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,,,Nee,Ik blijf niet slapen,,,,,,,,,,,Muhammed van Mare,muhammed@ntc.fi,0443000000,,Mijn kind mag deelnemen aan een klassenfoto,Mijn kind mag niet herkenbaar in beeld komen,,,
2026-05-04 11:34:37.224000,van der Sande,Johanna,Groep 1,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten",,,Ja,Ik blijf niet slapen,,,,,,,,,,,Jesse van der Strigt,jesse@ntc.fi,+32400000000,Allebij goed,Mijn kind mag deelnemen aan een klassenfoto,Alleen op de website en/of drukmateriaal,,,
2026-05-04 11:51:48.522000,Simons,Joey,Groep 3b,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten",Aanwezig tijdens de lessen,,,Nee,Ik blijf niet slapen,,,,,,,,,Nee,,Karlijn Michielsen,karlijn@ntc.fi,0417000000,Ik gebruik geen van beide,Mijn kind mag deelnemen aan een klassenfoto,"Op de website, in drukmateriaal en op social media (Instagram en Facebook)",,,
2026-05-04 11:53:04.931000,Simons,Lily,Groep 6,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten",Aanwezig tijdens de lessen,,,Nee,Ik blijf niet slapen,,,,,,,,,Nee,,Karlijn Michielsen,karlijn@ntc.fi,0417000000,Ik gebruik geen van beide,Mijn kind mag deelnemen aan een klassenfoto,"Op de website, in drukmateriaal en op social media (Instagram en Facebook)",,,
2026-05-04 11:54:10.353000,Simons,Lana,Groep 8,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten",Aanwezig tijdens de lessen,,,Nee,Ik blijf niet slapen,,,,,,,,,Nee,,Karlijn Michielsen,karlijn@ntc.fi,0417000000,Ik gebruik geen van beide,Mijn kind mag deelnemen aan een klassenfoto,"Op de website, in drukmateriaal en op social media (Instagram en Facebook)",,,
2026-05-04 11:57:36.704000,Muller,Berat,Groep 2,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Allergisch voor noten en sesamzaad,,Nee,Ik blijf niet slapen,,,,,,,,,Nee,,,,,,Mijn kind mag deelnemen aan een klassenfoto,Mijn kind mag niet herkenbaar in beeld komen,,,
2026-05-04 12:25:52.126000,Scardino,Carlijn,Groep 4,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten",,,Nee,Vrijdagavond,,,,,,,,,,vegetarisch,Stan Luboch,stan@ntc.fi,0614000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,Alleen op de website en/of drukmateriaal,,,
2026-05-04 12:47:10.260000,Wigman,Maya,Groep 4,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten",,,Nee,Ik blijf niet slapen,,,,"Woensdag, Donderdag, Vrijdag, Zaterdag","Woensdag, Donderdag, Vrijdag, Zaterdag","Woensdag, Donderdag, Vrijdag",Vrijdag,,Ja,,Amber Jaceps,amber@ntc.fi,044 0000000,Allebij goed,Mijn kind mag deelnemen aan een klassenfoto,"Op de website, in drukmateriaal en op social media (Instagram en Facebook)",,,
2026-05-04 14:28:58.538000,Beourgeois,Teun,Groep 1,,,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten",Cashew en Pistache allergie - compleet vermijden. ,,Ja,Vrijdagavond,,,,,,,,,Nee,,Jolie,jolie@ntc.fi,+358000000000,Allebij goed,Mijn kind mag deelnemen aan een klassenfoto,Alleen op de website en/of drukmateriaal,,,
2026-05-04 15:11:19.654000,van den Berg,Wout,Groep 6,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp",Noten allergie!,,Nee,"Woensdagavond, Donderdagavond, Vrijdagavond",,"Woensdag, Donderdag, Vrijdag, Zaterdag","Woensdag, Donderdag, Vrijdag, Zaterdag",Zaterdag,Zaterdag,Zaterdag,"Woensdag, Donderdag, Vrijdag, Zaterdag",,Ja,,Annabel de Boer,annabel@ntc.fi,040-0000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,Alleen op de website en/of drukmateriaal,,,
2026-05-04 15:12:27.877000,de la Fleche,Siem,Groep 5,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,,,Nee,Ik blijf niet slapen,,,,,,,,,Nee,,Fem van Vermandois,fem@ntc.fi,+358000000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,"Op de website, in drukmateriaal en op social media (Instagram en Facebook)",,,
2026-05-04 16:14:20.735000,van de Plas,Emily,Groep 6,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen",vegetarisch,,Nee,"Woensdagavond, Donderdagavond, Vrijdagavond",,,"Donderdag, Vrijdag, Zaterdag","Woensdag, Donderdag, Vrijdag","Woensdag, Donderdag, Vrijdag","Woensdag, Donderdag, Vrijdag",,,Nee,vegetarisch,Lina Huisman,lina@ntc.fi,0413000000,Allebij goed,Mijn kind mag deelnemen aan een klassenfoto,Mijn kind mag niet herkenbaar in beeld komen,,,
2026-05-04 16:15:18.558000,van Oudewater,Myrthe,Groep 4,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten",vegetarisch,,,,,,,,,,,,,,,,,,Mijn kind mag deelnemen aan een klassenfoto,Mijn kind mag niet herkenbaar in beeld komen,,,
2026-05-04 16:22:22.150000,Janssen,Tirza,Groep 6,Aanwezig tijdens de lessen,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten",,,Nee,"Donderdagavond, Vrijdagavond",,,Zaterdag,,Vrijdag,Vrijdag,,,,pescatarian ,Raf van der Maes,raf@ntc.fi,0404000000,Allebij goed,Mijn kind mag deelnemen aan een klassenfoto,"Op de website, in drukmateriaal en op social media (Instagram en Facebook)",,,
2026-05-04 17:51:35.286000,de Heer,Kim,Groep 6,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten",,,Nee,"Woensdagavond, Donderdagavond, Vrijdagavond",,,,,,"Woensdag, Donderdag, Vrijdag","Woensdag, Donderdag, Vrijdag",,Ja,,Bart Vertooren,bart@ntc.fi,0408000000,Allebij goed,Mijn kind mag deelnemen aan een klassenfoto,"Op de website, in drukmateriaal en op social media (Instagram en Facebook)",,,
2026-05-04 19:13:05.189000,van Beieren,Joël,Groep 3b,"Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp",Aanwezig bij het ontbijt,,,Nee,Woensdagavond,,,,,,"Woensdag, Donderdag, Vrijdag",,,Nee,,Mustafa de Marduras,mustafa@ntc.fi,+358000000000,Allebij goed,Mijn kind mag deelnemen aan een klassenfoto,Alleen op de website en/of drukmateriaal,,,
2026-05-04 19:50:01.231000,Kremer,Jack,Groep 8,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten",,,Nee,"Woensdagavond, Donderdagavond, Vrijdagavond",,,,,,,,,Ja,,Nora,nora@ntc.fi,0442000000,Allebij goed,Mijn kind mag deelnemen aan een klassenfoto,Mijn kind mag niet herkenbaar in beeld komen,,,
2026-05-04 19:51:20.820000,Kremer,Kai,Groep 3b,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten",,,Nee,"Woensdagavond, Donderdagavond, Vrijdagavond",,,,,,,,,Nee,,,,,,Mijn kind mag deelnemen aan een klassenfoto,Mijn kind mag niet herkenbaar in beeld komen,,,
2026-05-04 19:54:31.094000,Meyer,Jaylinn,Groep 4,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen",,,Nee,"Woensdagavond, Donderdagavond, Vrijdagavond",,,,,,,,,Nee,,Wesley,wesley@ntc.fi,0400000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,Alleen op de website en/of drukmateriaal,,,
2026-05-04 19:55:16.906000,Meyer,Janna,Groep 2,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten",,,,,,,,,,,,,,,,,,,Mijn kind mag deelnemen aan een klassenfoto,Alleen op de website en/of drukmateriaal,,,
2026-05-04 20:04:48.075000,Olthof,Liza,Groep 7,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Geen allergieën ,,Nee,Ik blijf niet slapen,,,,"Donderdag, Vrijdag, Zaterdag","Donderdag, Vrijdag",,,,Nee,Geen allergieën ,Pieter,pieter@ntc.fi,0503000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,Mijn kind mag niet herkenbaar in beeld komen,,,
2026-05-04 20:06:14.429000,Olthof,Emma,Groep 3a,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,Geen allergieën ,,,,,,,,,,,,,,,,,,Mijn kind mag deelnemen aan een klassenfoto,Mijn kind mag niet herkenbaar in beeld komen,,,
2026-05-04 20:25:09.215000,Totwiller,Jaylinn,Groep 6,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten",,,,,Nee,Ik blijf niet slapen,,,,,,,,,Nee,,,,,Ik gebruik geen van beide,Mijn kind mag niet deelnemen aan een klassenfoto,Mijn kind mag niet herkenbaar in beeld komen,,,
2026-05-04 20:58:17.029000,van der Berg,Rick,Groep 3a,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten",,,Nee,Vrijdagavond,,,,,,,,,Nee,,Kyara,kyara@ntc.fi,0505000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,Alleen op de website en/of drukmateriaal,,,
2026-05-04 20:59:00.700000,van der Berg,Juliette,Groep 1,Aanwezig tijdens de lessen,Aanwezig tijdens de lessen,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten",,,,,,,,,,,,,,,,,,,Mijn kind mag deelnemen aan een klassenfoto,Alleen op de website en/of drukmateriaal,,,
2026-05-04 22:19:12.485000,de Koning,Vajèn,Groep 2,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp",Aanwezig tijdens de lessen,"Melkvrij (geen melkeiwit proteinen), kan soms maar 90% niet.",,Nee,"Woensdagavond, Donderdagavond, Vrijdagavond",,,,,,,,,Ja,,Amira,amira@ntc.fi,+324000000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,Alleen op de website en/of drukmateriaal,,,
2026-05-04 22:22:52.228000,de Koning,Stef,Groep 1,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp",Aanwezig tijdens de lessen,"Melkvrij, 80% van de tijd",,Nee,"Woensdagavond, Donderdagavond, Vrijdagavond",,,,,,,,,Ja,,Amira,amira@ntc.fi,+324000000000,Ik gebruik liever Whatsapp,Mijn kind mag deelnemen aan een klassenfoto,Alleen op de website en/of drukmateriaal,,,
2026-05-05 16:02:44.382000,Schenkel,Lisa,Groep 3b,"Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten, Aanwezig bij het avondeten, Overnacht op het kamp","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen",,,Nee,"Wij komen al op dinsdagavond, Woensdagavond, Donderdagavond, Vrijdagavond",,,,,,,,,Nee,,Elize,elize@ntc.fi,0406000000,Allebij goed,Mijn kind mag deelnemen aan een klassenfoto,"Op de website, in drukmateriaal en op social media (Instagram en Facebook)",,,
2026-05-05 18:28:15.955000,'s Gravensande,Elizabeth,Groep 6,,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten",,,Nee,"Donderdagavond, Vrijdagavond",,,,,"Donderdag, Vrijdag, Zaterdag","Donderdag, Vrijdag, Zaterdag","Donderdag, Vrijdag, Zaterdag",,Nee,,Hailey,hailey@ntc.fi,0403000000,Allebij goed,Mijn kind mag deelnemen aan een klassenfoto,Alleen op de website en/of drukmateriaal,,,
2026-05-05 18:33:01.789000,'s Gravensande,Puk,Groep 8,,"Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen, Aanwezig tijdens de naschoolse activiteiten",,,Nee,"Donderdagavond, Vrijdagavond",,,"Vrijdag, Zaterdag","Vrijdag, Zaterdag","Donderdag, Vrijdag, Zaterdag","Donderdag, Vrijdag","Donderdag, Vrijdag",,Nee,,Hailey,hailey@ntc.fi,0403000000,Allebij goed,Mijn kind mag deelnemen aan een klassenfoto,Alleen op de website en/of drukmateriaal,,,
2026-05-05 19:03:06.567000,Post,Isa,Groep 6,,,"Aanwezig bij het ontbijt, Aanwezig tijdens de lessen","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen",,,Nee,"Donderdagavond, Vrijdagavond",,,,,,,,,,,,,,,Mijn kind mag deelnemen aan een klassenfoto,Alleen op de website en/of drukmateriaal,,,
2026-05-05 19:04:16.614000,Post,Jelle,Groep 3b,,,"Aanwezig bij het ontbijt, Aanwezig tijdens de lessen","Aanwezig bij het ontbijt, Aanwezig tijdens de lessen",,,Nee,"Donderdagavond, Vrijdagavond",,,,,,,,,,,,,,,Mijn kind mag deelnemen aan een klassenfoto,Alleen op de website en/of drukmateriaal,,,
